Chest,Shoulder,Sleeve Length,Waist,Predicted Size
96.5,43.18,19,96.5,1
96.5,43.18,19,97,1
96.5,43.18,19,97.5,1
96.5,43.18,19,98,1
96.5,43.18,19,98.5,1
96.5,43.18,19,99,1
96.5,43.18,19,99.5,1
96.5,43.18,19,100,1
96.5,43.18,19,100.5,1
96.5,43.18,19,101,1
96.5,43.18,19,101.3,1
97,43.18,19,96.5,1
97,43.18,19,97,1
97,43.18,19,97.5,1
97,43.18,19,98,1
97,43.18,19,98.5,1
97,43.18,19,99,1
97,43.18,19,99.5,1
97,43.18,19,100,1
97,43.18,19,100.5,1
97,43.18,19,101,1
97,43.18,19,101.3,1
97.5,43.18,19,96.5,1
97.5,43.18,19,97,1
97.5,43.18,19,97.5,1
97.5,43.18,19,98,1
97.5,43.18,19,98.5,1
97.5,43.18,19,99,1
97.5,43.18,19,99.5,1
97.5,43.18,19,100,1
97.5,43.18,19,100.5,1
97.5,43.18,19,101,1
97.5,43.18,19,101.3,1
98,43.18,19,96.5,1
98,43.18,19,97,1
98,43.18,19,97.5,1
98,43.18,19,98,1
98,43.18,19,98.5,1
98,43.18,19,99,1
98,43.18,19,99.5,1
98,43.18,19,100,1
98,43.18,19,100.5,1
98,43.18,19,101,1
98,43.18,19,101.3,1
98.5,43.18,19,96.5,1
98.5,43.18,19,97,1
98.5,43.18,19,97.5,1
98.5,43.18,19,98,1
98.5,43.18,19,98.5,1
98.5,43.18,19,99,1
98.5,43.18,19,99.5,1
98.5,43.18,19,100,1
98.5,43.18,19,100.5,1
98.5,43.18,19,101,1
98.5,43.18,19,101.3,1
99,43.18,19,96.5,1
99,43.18,19,97,1
99,43.18,19,97.5,1
99,43.18,19,98,1
99,43.18,19,98.5,1
99,43.18,19,99,1
99,43.18,19,99.5,1
99,43.18,19,100,1
99,43.18,19,100.5,1
99,43.18,19,101,1
99,43.18,19,101.3,1
99.5,43.18,19,96.5,1
99.5,43.18,19,97,1
99.5,43.18,19,97.5,1
99.5,43.18,19,98,1
99.5,43.18,19,98.5,1
99.5,43.18,19,99,1
99.5,43.18,19,99.5,1
99.5,43.18,19,100,1
99.5,43.18,19,100.5,1
99.5,43.18,19,101,1
99.5,43.18,19,101.3,1
100,43.18,19,96.5,1
100,43.18,19,97,1
100,43.18,19,97.5,1
100,43.18,19,98,1
100,43.18,19,98.5,1
100,43.18,19,99,1
100,43.18,19,99.5,1
100,43.18,19,100,1
100,43.18,19,100.5,1
100,43.18,19,101,1
100,43.18,19,101.3,1
100.5,43.18,19,96.5,1
100.5,43.18,19,97,1
100.5,43.18,19,97.5,1
100.5,43.18,19,98,1
100.5,43.18,19,98.5,1
100.5,43.18,19,99,1
100.5,43.18,19,99.5,1
100.5,43.18,19,100,1
100.5,43.18,19,100.5,1
100.5,43.18,19,101,1
100.5,43.18,19,101.3,1
101,43.18,19,96.5,1
101,43.18,19,97,1
101,43.18,19,97.5,1
101,43.18,19,98,1
101,43.18,19,98.5,1
101,43.18,19,99,1
101,43.18,19,99.5,1
101,43.18,19,100,1
101,43.18,19,100.5,1
101,43.18,19,101,1
101,43.18,19,101.3,1
101.3,43.18,19,96.5,1
101.3,43.18,19,97,1
101.3,43.18,19,97.5,1
101.3,43.18,19,98,1
101.3,43.18,19,98.5,1
101.3,43.18,19,99,1
101.3,43.18,19,99.5,1
101.3,43.18,19,100,1
101.3,43.18,19,100.5,1
101.3,43.18,19,101,1
101.3,43.18,19,101.3,1
96.5,43.58,19,96.5,1
96.5,43.58,19,97,1
96.5,43.58,19,97.5,1
96.5,43.58,19,98,1
96.5,43.58,19,98.5,1
96.5,43.58,19,99,1
96.5,43.58,19,99.5,1
96.5,43.58,19,100,1
96.5,43.58,19,100.5,1
96.5,43.58,19,101,1
96.5,43.58,19,101.3,1
97,43.58,19,96.5,1
97,43.58,19,97,1
97,43.58,19,97.5,1
97,43.58,19,98,1
97,43.58,19,98.5,1
97,43.58,19,99,1
97,43.58,19,99.5,1
97,43.58,19,100,1
